"DATE", "UVINDEX"
20211227,14.33142857
20211228,14.42285714
20211229,14.44571429
20211230,14.33142857
20211231,14.30857143
20220101,12.97326587
20220102,13.9153209
20220103,13.36798994
20220104,14.24927897
20220105,14.37061674
20220106,14.21839828
20220107,14.33978461
20220108,14.36998553
20220109,14.30897676
20220110,13.85283121
20220111,14.24772522
20220112,14.39950669
20220113,14.24733678
20220114,14.18632801
20220115,14.45969003
20220116,14.21631044
20220117,14.33767249
20220118,14.276688
20220119,14.21567923
20220120,14.27627528
20220121,14.30645193
20220122,14.30625771
20220123,14.30601494
20220124,14.27542558
20220125,14.3056265
20220126,14.305408
20220127,14.30521379
20220128,14.36576129
20220129,14.39593793
20220130,14.39576799
20220131,14.33475922
20220201,13.57283658
20220202,12.9157522
20220203,13.39301728
20220204,12.96480362
20220205,13.62117438
20220206,13.90936999
20220207,14.33330258
20220208,14.27224526
20220209,14.57602669
20220210,14.45425192
20220211,14.24126747
20220212,13.45946492
20220213,14.21043534
20220214,13.9662174
20220215,14.2100469
20220216,13.70680903
20220217,13.67659454
20220218,13.07923898
20220219,13.02912386
20220220,12.90935653
20220221,13.15775088
20220222,12.75938817
20220223,13.38590798
20220224,13.54474949
20220225,12.66877163
20220226,13.39476767
20220227,13.32477884
20220228,12.76721108
20220301,12.15986482
20220302,13.16449663
20220303,13.80096676
20220304,13.14389584
20220305,12.73556935
20220306,12.26755443
20220307,12.98364055
20220308,12.59520123
20220309,11.90827936
20220310,11.77856171
20220311,10.66377627
20220312,10.42461862
20220313,10.91182054
20220314,11.71743258
20220315,11.27928207
20220316,11.77642085
20220317,10.95019456
20220318,11.5667506
20220319,11.03904725
20220320,10.82972707
20220321,11.49604815
20220322,10.56035493
20220323,11.96299937
20220324,10.34073436
20220325,10.02196071
20220326,9.40470452
20220327,9.663049186
20220328,10.25970459
20220329,9.801639984
20220330,9.870942116
20220331,9.960131414
20220401,9.266805494
20220402,9.589907109
20220403,9.589842308
20220404,8.778795965
20220405,9.193363047
20220406,9.802083333
20220407,10.46875
20220408,10.70833333
20220409,10.03125
20220410,9.197916667
20220411,8.78125
20220412,8.75
20220413,8.395833333
20220414,7.979166667
20220415,8.239583333
20220416,8.145833333
20220417,7.666666667
20220418,7.71875
20220419,7.6875
20220420,7.052083333
20220421,7.385416667
20220422,7.416666667
20220423,7.114583333
20220424,6.53125
20220425,5.916666667
20220426,6.145833333
20220427,6.78125
20220428,6.71875
20220429,7.0625
20220430,7.083333333
20220501,7.087945313
20220502,6.53125
20220503,6.28125
20220504,6.34375
20220505,6.5
20220506,6.239583333
20220507,6.052083333
20220508,5.770833333
20220509,5.822916667
20220510,5.541666667
20220511,5.34375
20220512,5.197916667
20220513,5.385416667
20220514,5.447916667
20220515,5.166666667
20220516,5.65625
20220517,5.458333333
20220518,5.322916667
20220519,5.40625
20220520,5.645833333
20220521,5.520833333
20220522,5.270833333
20220523,5.53125
20220524,4.947916667
20220525,5.09375
20220526,5.229166667
20220527,5.208333333
20220528,4.90625
20220529,4.885416667
20220530,4.822916667
20220531,4.927083333
20220601,4.885416667
20220602,4.822916667
20220603,4.635416667
20220604,4.708333333
20220605,4.666666667
20220606,4.510416667
20220607,4.645833333
20220608,4.90625
20220609,5.114583333
20220610,4.75
20220611,4.829072707
20220612,4.791666667
20220613,4.729166667
20220614,4.5
20220615,4.354166667
20220616,4.40625
20220617,4.197916667
20220618,4.21875
20220619,4.145833333
20220620,4.458333333
20220621,4.59375
20220622,4.59375
20220623,4.666666667
20220624,4.708333333
20220625,4.333333333
20220626,4.09375
20220627,4.114583333
20220628,4.375
20220629,4.375
20220630,4.104166667
20220701,4.99668974
20220702,4.997032275
20220703,5.138389701
20220704,4.997744748
20220705,4.150799695
20220706,5.531853033
20220707,5.320728038
20220708,4.357958873
20220709,5.452001228
20220710,5.663866099
20220711,6.036832125
20220712,4.760091394
20220713,5.694790177
20220714,5.725358018
20220715,5.574669933
20220716,4.668697639
20220717,5.574998767
20220718,5.605594011
20220719,6.280676082
20220720,4.717440975
20220721,5.797646646
20220722,5.777875514
20220723,6.342181703
20220724,4.997715156
20220725,5.788672224
20220726,5.980354921
20220727,6.121698646
20220728,5.552170602
20220729,5.890432581
20220730,6.535316749
20220731,6.847859566
20220801,6.045696877
20220802,6.807933663
20220803,6.848585741
20220804,5.57654227
20220805,6.405838444
20220806,6.335714638
20220807,6.577763711
20220808,5.789794364
20220809,6.628472622
20220810,6.236091701
20220811,6.95144221
20220812,5.96039604
20220813,7.324421938
20220814,7.29456657
20220815,7.093512109
20220816,6.831683168
20220817,7.355715953
20220818,7.698484076
20220819,7.014030242
20220820,6.319878142
20220821,7.165458202
20220822,7.508226325
20220823,7.367595074
20220824,6.947448591
20220825,7.196752218
20220826,8.053103917
20220827,8.496563687
20220828,7.337395278
20220829,8.496933625
20220830,7.95348098
20220831,7.160700685
20220901,8.970961236
20220902,8.850471054
20220903,8.881052597
20220904,8.044173648
20220905,8.337599952
20220906,8.88176507
20220907,9.486353398
